Sensor,lat,lon,,,,
1,44.39743, -73.27425,,,,,
2,44.39699, -73.27489,,,,,
3,44.39697, -73.27363,,,,,
4,44.39653, -73.27427,,,,,
5,44.39651, -73.27302,,,,,
6,44.39649, -73.27176,,,,,
8,44.39607, -73.27366,,,,,
9,44.39605, -73.27240,,,,,
10,44.39603, -73.27115,,,,,
11,44.39565, -73.27556,,,,,
12,44.39563, -73.27431,,,,,
13,44.39561, -73.27304,,,,,
14,44.39559, -73.27179,,,,,
15,44.39519, -73.27494,,,,,
16,44.39517, -73.27369,,,,,
17,44.39514, -73.27243,,,,,
18,44.39513, -73.27117,,,,,
19,44.39473, -73.27432,,,,,
20,44.39471, -73.27307,,,,,
21,44.39469, -73.27181,,,,,
22,44.39428, -73.27497,,,,,
23,44.39426, -73.27372,,,,,
24,44.39425, -73.27245,,,,,
